Product ID,Batch,Qty,D1,D2,D3
1505,B#-KHI-JULY21-04-31072021-01,68,NO,NO,NO
1509,B#-KHI-21-JAN-1-2029601,1,NO,NO,NO
1509,B#-JUNE-20-2-1906101,1,NO,NO,NO
1509,B#-ADJ-16082021,1,NO,NO,NO
1509,B#-NOV-20-4-01102020,3,NO,NO,NO
912,B#-KHI-AUG21-02-06082021-01,85,NO,NO,NO
912,B#-KHI-AUG21-02-06082021-01-dj,1,NO,NO,NO
912,B#-KHI-AUG21-02-06082021-01-djj,2,NO,NO,NO
2893,B#-KHI-AUG21-02-06082021-01,2,NO,NO,NO
2893,B#-KHI-AUG21-02-06082021-01-djj,3,NO,NO,NO
2893,B#-KHI-JULY21-02-19072021,3,NO,NO,NO
2893,B#-ADJ-29072021,6,NO,NO,NO
896,B#-KHI-JULY21-01-06052021,33,NO,NO,NO
891,B#-KHI-JUN21-04-18082021-djj,12,NO,NO,NO
891,B#-KHI-JUN21-04-18082021,41,NO,NO,NO
891,B#-KHI-MAY21-03-29052021,2,NO,NO,NO
3273,B#-ADJ-16082021-dj,1,NO,NO,NO
3273,B#-ADJ-16082021,3,NO,NO,NO
2797,B#-KHI-JULY21-01-06052021,9,NO,NO,NO
2797,B#-KHI-JULY21-01-06052021-djj,4,NO,NO,NO
3274,B#-KHI-JULY21-02-19072021-djj,2,NO,NO,NO
3274,B#-KHI-JULY21-02-19072021,4,NO,NO,NO
3274,B#-KHI-JULY21-03-27072021,72,NO,NO,NO
3274,B#-KHI-JULY21-04-31072021-01,48,NO,NO,NO
3836,B#-KHI-JULY21-02-19072021-dj,13,NO,NO,NO
3836,B#-KHI-JULY21-02-19072021,21,NO,NO,NO
2798,B#-KHI-AUG21-04-09082021,504,NO,NO,NO
2798,B#-KHI-JULY21-04-31072021-01,48,NO,NO,NO
2795,B#-KHI-AUG21-04-09082021,300,NO,NO,NO
878,B#-10072021-ADJ,2,NO,NO,NO
880,B#-20072021,1,NO,NO,NO
881,B#-KHI-JULY21-04-31072021-01-djj,8,NO,NO,NO
881,B#-KHI-JULY21-04-31072021-01,232,NO,NO,NO
2794,B#-IMT-02062021,1,NO,NO,NO
2794,B#-KHI-JULY21-02-19072021-dj,15,NO,NO,NO
2794,B#-KHI-JULY21-03-27072021-dj,2,NO,NO,NO
2794,B#-KHI-JULY21-02-19072021,4,NO,NO,NO
2794,B#-KHI-JULY21-03-27072021,42,NO,NO,NO
